exchange, currency, address, tag, min, max
binance,ADA,DdzFFzCqrhsoShcAoijaW2y3TbnSVkqVJedDvnBVgnB7GJVtkBXPgVYiVMcaCKxzSdGZw7zi9Gn4NAkTh5oVq7ckfHhwXFnrPrX76itE,,,undefined
binance,BTG,GVf9P7osQ6L4UivsMjs3KE4cZFAkJt99ev,,,undefined
binance,DASH,XmAwhMhGhZr4zZJgGwCtgx2dLXmK3nH1s5,,,undefined
binance,EOS,0x78715dc50b9f9bef1b9090a1b2f29fe3ff270393,,,undefined
binance,ETC,0x78715dc50b9f9bef1b9090a1b2f29fe3ff270393,,,undefined
binance,ICX,0x78715dc50b9f9bef1b9090a1b2f29fe3ff270393,,,undefined
binance,LSK,17151187181941688486L,,,undefined
binance,IOTA,FNRJPYBLZRFUGXVGHOJFGFXPFGRSZ9O9FH9WSAAR9GKBXSEPGZMGQGWFFAUWZYUTZGJZQOAQOBRXMEUKDLNDKKNMDW,undefined,,undefined
binance,NEO,AWgvvtbQFJpkZn9NSgCJZACrMYazUohtrv,,,undefined
binance,OMG,0x78715dc50b9f9bef1b9090a1b2f29fe3ff270393,,,undefined
binance,QTUM,QUdprRNQS52Zs9n1zNxoSiZVjWaa9vqrVn,,,undefined
binance,TRX,0x78715dc50b9f9bef1b9090a1b2f29fe3ff270393,,,undefined
binance,USDT,1FqN2CtoBWXsiZEMwRKtgt2s7DQWBxJKPz,,,undefined
binance,XEM,NC64UFOWRO6AVMWFV2BFX2NT6W2GURK2EOX6FFMZ,101485063,,undefined
binance,XLM,GAHK7EEG2WWHVKDNT4CEQFZGKF2LGDSW2IVM4S5DP42RBW3K6BTODB4A,1039847093,,undefined
binance,XMR,44tLjmXrQNrWJ5NBsEj2R77ZBEgDa3fEe9GLpSf2FRmhexPvfYDUAB7EXX1Hdb3aMQ9FLqdJ56yaAhiXoRsceGJCRS3Jxkn,c2ce37efb7e176e69cc5a45672dcaeaa95471cb0b01edec1ba15ef2e24d100fa,,undefined
binance,XRB,xrb_1in8w5qhk1scgc1thpw75nmn18hkaogubfma6jeboyd7ackksne3jembmjo7,,,undefined
binance,XVG,DC8fBcCsuE5NibibVuVKSV7MBRHun8gyWo,,,undefined
binance,ZEC,t1ecwSw38CJLigM2CaZjwE945Jufp3dXqay,,,undefined
binance,LTC,LLaGRxe5CgkaV4wiK3QNCK5MjWMjRZyA3e,,,undefined
binance,BTC,139ko3ofDcizDFoVusAwVeUCrLktDWz5wH,,,undefined
binance,ETH,0x78715dc50b9f9bef1b9090a1b2f29fe3ff270393,,,undefined
binance,XRP,rEb8TK3gBgk5auZkwc6sHnwrGVJH8DuaLh,104315397,,undefined
binance,BCH,139ko3ofDcizDFoVusAwVeUCrLktDWz5wH,,,undefined
bitfinex,BTG,GaEEGkifhy3JZtbVBZfEsFWSUcaPYyksmK,undefined,,undefined
bitfinex,DASH,XbhMgbo1QkXRtrsMKqd9gZLGEm2bMrXzWC,undefined,,undefined
bitfinex,EOS,0x8f6c6b396890297b8c58d898a7d4110437f1892d,undefined,,undefined
bitfinex,ETC,0x8f6c6b396890297b8c58d898a7d4110437f1892d,undefined,,undefined
bitfinex,IOTA,SEJYTWT9DXC9BZO9EDPVTVZTMHZDVOGUQAGIBYIWTIYBCSCQTRDPJIAQCQSYJBMXWRFJJECMLT9LTCBZDWGNWOWAWY,undefined,,undefined
bitfinex,NEO,AFqfjYaxnvGJcW77dTWKDvVwVq3PoG4p6Y,undefined,,undefined
bitfinex,OMG,0x8f6c6b396890297b8c58d898a7d4110437f1892d,undefined,0.18622,undefined
bitfinex,QTUM,QWwxFkvyBCLGix4CNXkj3KHYHmWJvT9fke,undefined,,undefined
bitfinex,TRX,0x8f6c6b396890297b8c58d898a7d4110437f1892d,undefined,55.971,undefined
bitfinex,USDT,15bbDBgZqRncvMcKeKLEtBQzvgiyBCKMiM,undefined,,undefined
bitfinex,XMR,4BCeEPhodgPMbPWFN1dPwhWXdRX8q4mhhdZdA1dtSMLTLCEYvAj9QXjXAfF7CugEbmfBhgkqHbdgK9b2wKA6nqRZQCgvCDm,853e89a8f3cb6294be37a0e2f4ce0634436a9279044a4b86fd2f29f97ff42ebe,,undefined
bitfinex,ZEC,t1b2SHSNFccVWYHCUG5SpL3DXcbGwRnfVkc,undefined,,undefined
bitfinex,LTC,LfYB5qNRxqLV5JpMa4FXJWRuQXFNBVDVrZ,undefined,,undefined
bitfinex,BTC,3FUteRaBAEbzwUArqnAFDoPUYbG5PRdZet,undefined,,undefined
bitfinex,ETH,0x8f6c6b396890297b8c58d898a7d4110437f1892d,undefined,,undefined
